INJ_OBD;INJ_HW;IGN;IAC;RPM;MAP;ECT;TPS;SPD;O2SENS;AVG SPD;LPK_OBD;LPH_OBD;LPH_INJ;TOTAL_OBD;TOTAL_INJ;AVG_OBD;AVG_INJ;CURR_OBD;CURR_INJ;CURR_RUN;RUN_TOTAL;INJ_CLOSED;CLOSED_DUR;SAVED_FUEL;;;ÊÃ\× ÂÎÇÄÓÕÀ;;ãð\ñåê;;;1;0.75
2.13;2.34;23.11;37.65;1125;2;80;0;60;2.5;79.18;2.87;1.72;1.9;23.22;23.62;29.74;30.89;0.48;0.5;1.63;175.46;3740056;3005750.5;12.02;;5.2675;18.963;;5.2675;2.63375;;;
2.13;2.34;23.11;37.65;1125;2;80;0;60;2.5;79.18;2.87;1.72;1.91;23.22;23.62;29.74;30.89;0.48;0.5;1.63;175.46;3740056;3005750.5;12.02;;5.2675;18.963;;5.2675;2.63375;;;
2.13;2.36;23.11;37.65;1125;2;80;0;60;2.5;79.18;2.87;1.72;1.91;23.22;23.62;29.74;30.89;0.48;0.5;1.63;175.46;3740056;3005750.5;12.02;;5.2675;18.963;;5.2675;2.63375;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.88;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;20.29;37.25;1100;2;80;0;60;2.5;79.18;2.97;1.78;1.89;23.22;23.62;29.38;30.5;0.48;0.5;1.65;175.48;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.38;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.88;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.39;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.89;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.9;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.9;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.9;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.9;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;18.41;37.25;1100;2;80;0;60;2.5;79.17;2.97;1.78;1.9;23.22;23.62;29.03;30.13;0.48;0.5;1.67;175.5;3740056;3005750.5;12.02;;5.45125;19.6245;;5.45125;2.725625;;;
2.25;2.4;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.95;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.36;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.36;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.36;15.59;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.91;23.22;23.62;28.68;29.79;0.49;0.5;1.69;175.52;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.5;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.5;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.5;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.4;16.06;37.25;1125;2;82.11;0;61;2.5;79.17;2.99;1.82;1.94;23.22;23.62;28.34;29.43;0.49;0.51;1.72;175.55;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.37;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.92;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.37;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.92;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.37;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.92;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.35;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.91;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.36;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.91;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.36;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.91;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.35;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.9;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
2.25;2.35;19.35;37.25;1125;2;82.11;0;62;2.5;79.16;2.94;1.82;1.9;23.22;23.62;28;29.07;0.49;0.51;1.74;175.57;3740056;3005750.5;12.02;;5.57375;20.0655;;5.57375;2.786875;;;
